,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,"
            FP
          ",DD2,TD3,+/-
1,Anthony Edwards,MIN,19,72,23,49,32.1,19.3,7.0,16.8,41.7,2.4,7.2,32.9,2.9,3.8,77.6,0.8,3.8,4.7,2.9,2.2,1.1,0.5,1.8,32.0,3,0,-3.2
1,Bojan Bogdanovic,UTA,32,72,52,20,30.8,17.0,5.6,12.8,43.9,2.5,6.4,39.0,3.2,3.7,87.9,0.6,3.3,3.9,1.9,1.8,0.6,0.1,1.6,24.8,0,0,5.8
1,Duncan Robinson,MIA,27,72,40,32,31.4,13.1,4.4,10.0,43.9,3.5,8.5,40.8,0.9,1.0,82.7,0.1,3.4,3.5,1.8,1.1,0.6,0.3,2.5,21.4,1,0,1.6
1,Dwayne Bacon,ORL,25,72,21,51,25.7,10.9,4.1,10.1,40.2,0.8,2.9,28.5,2.0,2.4,82.4,0.4,2.7,3.1,1.3,0.6,0.6,0.1,1.4,18.1,0,0,-6.2
1,Enes Freedom,POR,29,72,42,30,24.4,11.2,4.7,7.8,60.4,0.0,0.1,25.0,1.8,2.3,77.4,3.9,7.1,11.0,1.2,1.1,0.5,0.7,2.3,28.5,34,0,2.2
1,Georges Niang,UTA,28,72,52,20,16.0,6.9,2.5,5.6,43.7,1.7,4.1,42.5,0.3,0.3,95.7,0.4,2.1,2.4,0.8,0.7,0.3,0.1,1.6,11.8,1,0,4.9
1,Ivica Zubac,LAC,24,72,47,25,22.3,9.0,3.6,5.5,65.2,0.0,0.1,25.0,1.9,2.4,78.9,2.6,4.6,7.2,1.3,1.1,0.3,0.9,2.6,22.0,13,0,2.5
1,Justin Holiday,IND,32,72,34,38,30.3,10.5,3.6,8.7,41.3,2.4,6.3,38.2,0.9,1.2,78.8,0.4,3.1,3.6,1.7,0.8,1.0,0.6,1.9,21.3,0,0,-0.6
1,Mikal Bridges,PHX,24,72,51,21,32.6,13.5,5.0,9.3,54.3,1.9,4.4,42.5,1.5,1.8,84.0,1.1,3.2,4.3,2.1,0.8,1.1,0.9,1.6,26.8,2,0,4.7
1,Nikola Jokic,DEN,26,72,47,25,34.6,26.4,10.2,18.0,56.6,1.3,3.3,38.8,4.8,5.5,86.8,2.8,8.0,10.8,8.3,3.1,1.3,0.7,2.7,54.7,60,16,5.3
1,RJ Barrett,NYK,21,72,41,31,34.9,17.6,6.5,14.7,44.1,1.7,4.3,40.1,2.9,3.8,74.6,0.9,4.8,5.8,3.0,1.9,0.7,0.3,2.6,30.1,5,0,1.9
12,Andrew Wiggins,GSW,26,71,38,33,33.3,18.6,7.1,14.9,47.7,2.0,5.2,38.0,2.4,3.4,71.4,1.2,3.7,4.9,2.4,1.8,0.9,1.0,2.2,32.0,3,0,0.0
12,Buddy Hield,SAC,28,71,31,40,34.3,16.6,5.7,14.0,40.6,4.0,10.2,39.1,1.2,1.5,84.6,0.4,4.3,4.7,3.6,1.8,0.9,0.4,2.5,29.7,2,0,-0.8
