,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,"
            FP
          ",DD2,TD3,+/-
30,Derek Fisher,OKC,39,81,59,22,17.6,5.2,1.7,4.5,39.1,1.1,2.8,38.4,0.7,0.9,77.5,0.1,1.4,1.5,1.4,0.6,0.9,0.0,1.9,11.3,0,0,2.9
30,Evan Turner,IND,25,81,29,52,30.3,14.0,5.4,12.6,42.5,0.6,1.9,32.1,2.6,3.2,81.3,0.8,4.3,5.0,3.2,2.3,0.8,0.1,2.4,25.3,9,0,-4.7
30,Jonas Valanciunas,TOR,22,81,47,34,28.2,11.3,4.4,8.3,53.1,0.0,0.0,0.0,2.4,3.2,76.2,2.8,6.0,8.8,0.7,1.7,0.3,0.9,3.1,24.8,25,0,1.2
30,Jordan Crawford,GSW,25,81,39,42,23.0,11.0,4.0,9.7,41.5,1.1,3.5,31.6,1.8,2.1,86.4,0.3,1.9,2.3,3.5,1.7,0.6,0.1,1.5,19.2,3,1,-2.2
30,Jose Calderon,DAL,32,81,49,32,30.5,11.4,4.2,9.2,45.6,2.4,5.2,44.9,0.6,0.8,82.5,0.4,2.0,2.4,4.7,1.3,0.9,0.1,1.7,22.9,1,0,0.0
30,Kevin Durant,OKC,25,81,58,23,38.5,32.0,10.5,20.8,50.3,2.4,6.1,39.1,8.7,9.9,87.3,0.7,6.7,7.4,5.5,3.5,1.3,0.7,2.1,51.6,27,3,6.3
30,Klay Thompson,GSW,24,81,51,30,35.4,18.4,6.9,15.5,44.4,2.8,6.6,41.7,1.8,2.3,79.5,0.5,2.6,3.1,2.2,1.7,0.9,0.5,2.9,27.9,1,0,6.6
30,Marcin Gortat,WAS,30,81,44,37,32.8,13.2,5.6,10.4,54.2,0.0,0.0,100,1.9,2.8,68.6,2.5,7.0,9.5,1.7,1.6,0.5,1.5,2.5,31.5,37,0,3.6
30,Markieff Morris,PHX,24,81,47,34,26.6,13.8,5.1,10.4,48.6,0.4,1.3,31.5,3.2,4.0,79.2,1.7,4.3,6.0,1.8,1.8,0.8,0.6,2.9,26.2,11,0,1.7
30,Nick Collison,OKC,33,81,58,23,16.7,4.2,1.7,3.0,55.6,0.0,0.2,23.5,0.8,1.1,71.0,1.4,2.2,3.6,1.3,0.9,0.4,0.3,2.3,11.7,0,0,4.1
