,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,"
            FP
          ",DD2,TD3,+/-
1,Deni Avdija,WAS,21,82,35,47,24.2,8.4,3.0,7.1,43.2,1.0,3.2,31.7,1.3,1.7,75.7,0.6,4.5,5.2,2.0,1.1,0.7,0.5,2.3,20.3,3,0,-0.8
1,Dwight Powell,DAL,30,82,52,30,21.9,8.7,3.3,4.9,67.1,0.2,0.5,35.1,2.0,2.6,78.3,2.1,2.8,4.9,1.2,0.8,0.5,0.5,2.7,18.4,2,0,0.9
1,Kevon Looney,GSW,26,82,53,29,21.1,6.0,2.5,4.4,57.1,0.0,0.0,0.0,0.9,1.5,60.0,2.5,4.7,7.3,2.0,0.8,0.6,0.6,2.6,20.6,5,0,2.0
1,Mikal Bridges,PHX,25,82,64,18,34.8,14.2,5.6,10.5,53.4,1.4,3.8,36.9,1.6,1.9,83.4,0.9,3.3,4.2,2.3,0.8,1.2,0.4,1.8,26.6,0,0,7.0
1,Saddiq Bey,DET,23,82,23,59,33.0,16.1,5.5,13.9,39.6,2.6,7.4,34.6,2.6,3.1,82.7,1.3,4.1,5.4,2.8,1.2,0.9,0.2,1.6,28.9,6,0,-6.1
6,Alec Burks,NYK,30,81,37,44,28.6,11.7,3.5,9.0,39.1,1.9,4.8,40.4,2.7,3.3,82.2,0.6,4.3,4.9,3.0,1.1,1.0,0.3,2.7,24.9,2,0,1.5
6,Buddy Hield,IND,29,81,26,55,30.8,15.6,5.5,13.6,40.6,3.2,8.8,36.6,1.4,1.6,87.4,0.8,3.5,4.4,2.8,1.9,0.9,0.3,2.3,26.8,1,0,-2.0
6,Patty Mills,BKN,33,81,44,37,29.0,11.4,4.0,9.8,40.8,2.8,7.0,40.0,0.6,0.7,81.4,0.2,1.7,1.9,2.3,0.9,0.6,0.2,1.4,18.7,0,0,1.4
6,Terance Mann,LAC,25,81,41,40,28.6,10.8,4.1,8.5,48.4,0.9,2.6,36.5,1.6,2.0,78.0,1.3,4.0,5.2,2.6,1.0,0.7,0.3,2.2,22.7,6,0,0.8
10,Chris Boucher,TOR,29,80,48,32,21.1,9.4,3.4,7.2,46.4,0.9,2.9,29.7,1.9,2.4,77.7,2.2,3.9,6.2,0.3,0.5,0.6,0.9,2.2,21.4,10,0,2.4
