,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,"
            FP
          ",DD2,TD3,+/-
1,Andre Iguodala,PHI,25,82,41,41,39.9,18.8,6.6,14.0,47.3,1.0,3.2,30.7,4.6,6.4,72.4,1.1,4.6,5.7,5.3,2.7,1.6,0.4,1.9,37.0,11,0,1.5
1,Andre Miller,PHI,33,82,41,41,36.3,16.3,6.0,12.7,47.3,0.2,0.6,28.3,4.1,5.0,82.6,1.5,3.0,4.5,6.5,2.4,1.3,0.2,2.4,33.5,12,2,1.4
1,Ben Gordon,CHI,26,82,41,41,36.6,20.7,7.3,16.0,45.5,2.1,5.1,41.0,4.0,4.7,86.4,0.6,2.8,3.5,3.4,2.4,0.9,0.3,2.2,30.9,0,0,0.3
1,Brook Lopez,NJN,21,82,34,48,30.5,13.0,5.5,10.3,53.1,0.0,0.0,0.0,2.1,2.6,79.3,2.7,5.4,8.1,1.0,1.8,0.5,1.8,3.1,29.7,18,0,-1.3
1,Derek Fisher,LAL,34,82,65,17,29.8,9.9,3.6,8.4,42.4,1.5,3.7,39.7,1.3,1.6,84.6,0.3,2.0,2.3,3.2,0.9,1.2,0.1,2.3,20.3,1,0,6.6
1,Emeka Okafor,CHA,26,82,35,47,32.8,13.2,5.3,9.4,56.1,0.0,0.0,0.0,2.7,4.5,59.3,3.4,6.7,10.1,0.6,1.8,0.6,1.7,3.0,31.3,39,0,0.3
1,Grant Hill,PHX,36,82,46,36,29.8,12.0,4.8,9.1,52.3,0.3,0.9,31.6,2.2,2.7,80.8,0.8,4.2,4.9,2.3,1.5,1.1,0.7,2.2,25.1,5,0,2.2
1,Hakim Warrick,MEM,26,82,24,58,24.7,11.6,4.1,8.5,49.1,0.1,0.3,21.7,3.2,4.6,71.1,1.6,3.4,5.0,0.8,1.2,0.6,0.5,2.1,20.7,5,0,-2.1
1,Jarrett Jack,IND,25,82,36,46,33.1,13.1,4.7,10.4,45.3,1.0,2.7,35.3,2.7,3.2,85.2,0.5,2.8,3.4,4.1,2.2,1.1,0.2,2.2,24.9,0,0,-0.4
1,Jason Thompson,SAC,22,82,17,65,28.1,11.1,4.3,8.7,49.7,0.0,0.1,0.0,2.4,3.5,69.2,2.9,4.5,7.4,1.1,1.8,0.6,0.7,3.8,23.7,17,0,-3.5
1,Joel Przybilla,POR,29,82,54,28,23.8,5.5,2.0,3.3,62.5,0.0,0.0,0.0,1.4,2.1,66.3,2.5,6.3,8.7,0.3,1.0,0.4,1.2,2.6,20.3,11,0,3.6
1,Kobe Bryant,LAL,30,82,65,17,36.1,26.8,9.8,20.9,46.7,1.4,4.1,35.1,5.9,6.9,85.6,1.1,4.1,5.2,4.9,2.6,1.5,0.5,2.3,43.6,8,2,8.0
1,Linas Kleiza,DEN,24,82,54,28,22.2,9.9,3.5,7.9,44.7,1.1,3.3,32.6,1.8,2.5,72.5,1.1,2.9,4.0,0.8,1.0,0.4,0.2,1.9,16.5,0,0,0.2
1,Luc Mbah a Moute,MIL,22,82,34,48,25.8,7.2,2.8,6.0,46.2,0.0,0.0,0.0,1.7,2.3,72.9,2.3,3.6,5.9,1.1,1.2,1.1,0.5,2.5,19.6,4,0,-0.4
1,Luis Scola,HOU,29,82,53,29,30.3,12.7,5.2,9.7,53.1,0.0,0.0,0.0,2.4,3.1,76.0,2.4,6.3,8.8,1.5,1.5,0.8,0.1,3.2,26.9,28,0,2.6
