,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,"
            FP
          ",DD2,TD3,+/-
1,Al-Farouq Aminu,NOH,21,66,21,45,22.4,6.0,2.3,5.5,41.1,0.2,0.7,27.7,1.3,1.7,75.4,1.4,3.2,4.7,1.0,1.4,0.9,0.5,2.1,16.0,2,0,-0.5
1,Andre Miller,DEN,36,66,38,28,27.4,9.7,3.7,8.4,43.8,0.3,1.3,21.7,2.1,2.6,81.1,0.8,2.5,3.3,6.7,2.7,1.0,0.1,2.0,24.3,8,0,2.6
1,Blake Griffin,LAC,23,66,40,26,36.2,20.7,8.5,15.5,54.9,0.0,0.2,12.5,3.7,7.1,52.1,3.3,7.6,10.9,3.2,2.3,0.8,0.7,3.3,40.9,41,0,5.1
1,Brandon Jennings,MIL,22,66,31,35,35.3,19.1,7.1,17.0,41.8,2.0,5.9,33.2,2.9,3.6,80.8,0.7,2.7,3.4,5.5,2.2,1.6,0.3,1.7,35.0,6,0,-1.6
1,Brandon Knight,DET,20,66,25,41,32.2,12.8,4.8,11.7,41.5,1.6,4.2,38.0,1.6,2.1,75.9,0.5,2.7,3.2,3.8,2.6,0.7,0.2,2.3,22.5,3,0,-3.9
1,Carlos Boozer,CHI,30,66,50,16,29.5,15.0,6.8,12.8,53.2,0.0,0.0,0.0,1.4,2.1,69.3,1.7,6.8,8.5,1.9,1.7,1.0,0.4,2.5,30.3,18,0,4.1
1,Chris Singleton,WAS,22,66,20,46,21.7,4.6,1.8,4.7,37.2,0.7,1.9,34.6,0.5,0.7,68.2,0.7,2.9,3.5,0.7,0.6,1.1,0.5,2.7,14.0,0,0,-2.2
1,Danny Green,SAS,25,66,50,16,23.1,9.1,3.2,7.2,44.2,1.5,3.5,43.6,1.2,1.5,79.0,0.8,2.6,3.5,1.3,1.0,0.9,0.7,1.6,18.9,0,0,3.7
1,David West,IND,31,66,42,24,29.2,12.8,5.3,10.8,48.7,0.0,0.1,22.2,2.2,2.7,80.7,1.8,4.8,6.6,2.1,1.4,0.8,0.7,2.4,26.9,12,0,3.3
1,DeAndre Jordan,LAC,23,66,40,26,27.2,7.4,3.1,4.9,63.2,0.0,0.0,0.0,1.1,2.1,52.5,3.1,5.2,8.3,0.3,1.1,0.5,2.0,2.9,24.0,8,0,2.4
1,Derrick Williams,MIN,21,66,26,40,21.5,8.8,3.1,7.5,41.2,0.6,2.1,26.8,2.1,3.0,69.7,1.2,3.5,4.7,0.6,1.2,0.5,0.5,1.4,17.0,2,0,-1.6
1,Ed Davis,TOR,23,66,23,43,23.2,6.3,2.6,5.1,51.3,0.0,0.0,0.0,1.1,1.6,67.0,2.0,4.6,6.6,0.9,1.0,0.6,1.0,2.4,19.3,5,0,-3.5
1,Enes Freedom,UTA,20,66,36,30,13.2,4.6,1.8,3.6,49.6,0.0,0.0,0.0,1.1,1.6,66.7,1.6,2.6,4.2,0.1,0.8,0.3,0.3,1.3,10.9,1,0,-2.0
