,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,"
            FP
          ",DD2,TD3,+/-
1,Josh Smith,HOU,29,83,41,42,27.7,12.4,5.0,11.9,41.9,0.9,2.7,31.6,1.5,3.1,49.8,1.8,4.6,6.4,3.3,2.5,1.0,1.4,2.7,29.9,15,0,0.2
2,Aaron Brooks,CHI,30,82,50,32,23.0,11.6,4.2,10.0,42.1,1.5,3.8,38.7,1.8,2.1,83.3,0.4,1.6,2.0,3.2,1.9,0.7,0.2,2.3,19.4,1,0,2.5
2,Andre Drummond,DET,21,82,32,50,30.5,13.8,6.0,11.7,51.4,0.0,0.0,0.0,1.7,4.5,38.9,5.3,8.1,13.5,0.7,1.5,0.9,1.9,3.5,37.7,48,0,-0.7
2,Andrew Wiggins,MIN,20,82,16,66,36.2,16.9,6.1,13.9,43.7,0.5,1.5,31.0,4.3,5.7,76.0,1.6,2.9,4.6,2.1,2.2,1.0,0.6,2.3,28.3,2,0,-6.7
2,Ben McLemore,SAC,22,82,29,53,32.6,12.1,4.4,10.1,43.7,1.7,4.8,35.8,1.6,2.0,81.3,0.4,2.6,2.9,1.7,1.7,0.9,0.2,2.7,20.1,0,0,-0.4
2,Brandon Bass,BOS,30,82,40,42,23.5,10.6,4.2,8.3,50.4,0.1,0.4,28.1,2.1,2.6,79.0,1.7,3.2,4.9,1.3,1.0,0.5,0.4,1.7,19.9,5,0,-2.2
2,Chris Paul,LAC,30,82,56,26,34.8,19.1,6.9,14.3,48.5,1.7,4.3,39.8,3.5,3.9,90.0,0.6,4.0,4.6,10.2,2.3,1.9,0.2,2.5,43.8,40,1,8.9
2,D.J. Augustin,OKC,27,82,37,45,23.9,9.5,3.1,7.9,39.9,1.0,3.0,33.7,2.2,2.5,86.8,0.2,1.7,2.0,4.3,1.8,0.6,0.0,1.1,18.4,4,0,-0.9
2,Damian Lillard,POR,24,82,51,31,35.7,21.0,7.2,16.6,43.4,2.4,7.0,34.3,4.2,4.9,86.4,0.6,4.0,4.6,6.2,2.7,1.2,0.3,2.0,37.4,6,0,3.7
2,Dante Exum,UTA,19,82,38,44,22.2,4.8,1.8,5.1,34.9,1.0,3.2,31.4,0.2,0.4,62.5,0.3,1.3,1.6,2.4,1.4,0.5,0.2,1.8,10.9,0,0,1.1
