,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,"
            FP
          ",DD2,TD3,+/-
1,Casey Jacobsen,NOH,24,84,43,41,21.5,6.5,2.0,4.9,40.4,0.8,2.1,37.3,1.8,2.3,78.6,0.4,1.6,2.0,1.3,0.8,0.4,0.1,1.2,11.5,0,0,0.1
2,Andre Iguodala,PHI,21,82,43,39,32.7,9.0,3.3,6.7,49.3,0.6,1.7,33.1,1.9,2.6,74.3,1.1,4.6,5.7,3.0,1.7,1.7,0.6,2.5,25.4,5,1,-0.2
2,Andre Miller,DEN,29,82,49,33,34.7,13.6,5.2,10.9,47.7,0.1,0.5,15.4,3.1,3.7,83.8,1.2,2.9,4.1,6.9,2.7,1.5,0.1,2.5,31.0,13,0,2.1
2,Ben Gordon,CHI,22,82,47,35,24.5,15.1,5.3,12.9,41.1,1.6,4.0,40.5,2.8,3.3,86.3,0.7,2.0,2.6,2.0,2.3,0.6,0.1,2.7,21.2,0,0,1.8
2,Bruce Bowen,SAS,34,82,59,23,32.0,8.2,3.1,7.3,42.0,1.2,3.1,40.3,0.9,1.4,63.4,0.6,2.9,3.5,1.5,0.7,0.7,0.5,2.1,17.5,0,0,4.9
2,Chris Duhon,CHI,22,82,47,35,26.5,5.9,2.1,6.0,35.2,1.1,3.2,35.5,0.6,0.8,73.1,0.3,2.3,2.6,4.9,1.5,1.0,0.0,2.5,18.0,2,0,1.4
2,Chucky Atkins,LAL,30,82,34,48,35.5,13.6,4.7,11.1,42.6,2.1,5.5,38.7,2.0,2.5,80.3,0.4,2.0,2.4,4.4,1.8,0.9,0.0,2.2,23.9,2,0,-1.8
2,Damon Jones,MIA,28,82,59,23,31.4,11.6,4.0,8.9,45.6,2.7,6.4,43.2,0.8,1.0,79.1,0.2,2.6,2.8,4.3,1.2,0.5,0.1,1.5,22.0,0,0,5.4
2,Drew Gooden,CLE,23,82,42,40,30.8,14.4,5.7,11.5,49.2,0.1,0.3,17.9,3.1,3.8,81.0,2.5,6.7,9.2,1.6,1.6,0.9,0.9,2.8,31.8,37,0,1.4
2,Dwight Howard,ORL,19,82,36,46,32.7,12.0,4.3,8.3,52.0,0.0,0.0,0.0,3.4,5.0,67.1,3.5,6.5,10.0,0.9,2.0,0.9,1.7,2.8,31.2,32,0,-2.2
2,Earl Boykins,DEN,29,82,49,33,26.4,12.4,4.1,10.0,41.3,0.7,2.0,33.7,3.4,3.7,92.1,0.5,1.3,1.7,4.5,1.5,1.0,0.1,1.5,23.1,6,0,1.3
2,Joe Johnson,PHX,24,82,62,20,39.5,17.1,6.6,14.4,46.1,2.2,4.5,47.8,1.6,2.2,75.0,1.5,3.7,5.1,3.5,1.8,1.0,0.3,2.0,30.5,3,0,6.9
