,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,"
            FP
          ",DD2,TD3,+/-
1,Bo Outlaw,PHX,31,83,37,46,23.2,4.5,2.0,3.6,55.5,0.0,0.0,50.0,0.5,1.2,42.2,1.8,2.6,4.4,1.5,1.2,0.8,1.1,2.5,16.8,0,0,0.7
1,Jalen Rose,CHI,29,83,35,48,38.0,20.4,8.0,17.6,45.5,1.1,3.0,36.2,3.4,4.0,83.9,0.5,4.0,4.5,4.3,2.4,0.9,0.5,3.0,34.3,5,0,-1.5
3,Aaron Williams,NJN,30,82,52,30,18.9,7.2,2.8,5.4,52.6,0.0,0.0,0.0,1.6,2.3,69.9,1.4,2.7,4.1,0.9,1.0,0.4,0.9,2.6,16.5,0,0,1.5
3,Alvin Williams,TOR,27,82,42,40,35.8,11.8,4.9,11.8,41.5,0.8,2.4,32.1,1.3,1.7,73.6,0.7,2.7,3.4,5.7,1.8,1.6,0.3,2.3,28.6,2,0,-0.4
3,Andrei Kirilenko,UTA,21,82,44,38,26.3,10.7,3.5,7.7,45.0,0.3,1.2,25.0,3.5,4.5,76.8,1.8,3.1,4.9,1.1,1.3,1.4,1.9,1.9,27.1,3,0,4.2
3,Antawn Jamison,GSW,26,82,21,61,37.0,19.7,7.5,16.8,44.7,0.8,2.6,32.4,3.9,5.4,73.4,2.6,4.2,6.8,2.0,2.0,0.9,0.5,2.3,33.1,16,0,-4.5
3,Anthony Mason,MIL,35,82,41,41,38.3,9.6,3.9,7.6,50.5,0.0,0.0,100,1.9,2.7,69.7,1.5,6.4,7.9,4.2,1.6,0.7,0.3,2.3,26.7,10,0,0.2
3,Anthony Peeler,MIN,32,82,50,32,25.1,9.0,3.5,8.3,42.1,1.4,3.5,39.2,0.6,0.7,86.2,0.5,2.1,2.5,2.2,0.9,0.7,0.1,1.7,16.9,0,0,0.2
3,Antonio Daniels,SAS,27,82,58,24,26.5,9.2,3.3,7.5,44.0,0.7,2.4,29.1,1.9,2.6,75.2,0.3,1.9,2.1,2.8,0.9,0.6,0.1,1.3,17.3,0,0,3.2
3,Baron Davis,CHH,23,82,44,38,40.5,18.1,6.8,16.4,41.7,2.1,5.8,35.6,2.4,4.1,58.0,1.1,3.1,4.3,8.5,3.0,2.1,0.6,2.9,41.0,29,1,1.8
3,Chauncey Billups,MIN,25,82,50,32,28.7,12.5,4.2,10.0,42.3,1.5,3.8,39.4,2.5,2.9,88.5,0.4,2.3,2.8,5.5,1.7,0.8,0.2,2.1,25.4,8,1,2.1
3,Chris Whitney,WAS,30,82,37,45,26.5,10.2,3.3,8.0,41.8,1.6,3.9,40.6,1.9,2.1,88.0,0.1,1.7,1.9,3.8,1.0,0.9,0.1,2.2,19.9,1,0,-0.5
3,Darius Miles,LAC,20,82,39,43,27.1,9.5,3.8,7.8,48.0,0.0,0.2,15.8,1.9,3.1,62.0,1.3,4.2,5.5,2.2,2.0,0.9,1.3,2.2,23.9,4,0,0.1
3,Darrell Armstrong,ORL,34,82,44,38,33.3,12.4,4.2,10.1,42.0,1.7,4.9,34.9,2.2,2.5,88.8,1.0,2.9,3.9,5.5,2.1,1.9,0.1,2.0,29.3,4,0,2.5
3,Devean George,LAL,24,82,58,24,21.5,7.1,2.6,6.4,41.1,0.8,2.2,37.1,1.0,1.5,67.5,1.0,2.7,3.7,1.4,0.8,0.9,0.5,2.3,16.9,0,0,5.0
3,Gary Payton,SEA,33,82,45,37,40.2,22.1,9.0,19.2,46.7,0.9,2.9,31.4,3.3,4.1,79.7,1.0,3.9,4.8,9.0,2.5,1.6,0.3,2.2,44.6,32,2,2.5
3,Hanno Mottola,ATL,25,82,33,49,16.7,4.8,2.1,4.7,44.0,0.0,0.2,7.7,0.7,0.9,75.0,1.0,2.3,3.3,0.6,0.9,0.2,0.2,2.1,10.2,1,0,-1.9
3,Jacque Vaughn,ATL,27,82,33,49,22.6,6.6,2.5,5.3,47.0,0.3,0.7,44.4,1.3,1.5,82.5,0.2,1.8,2.0,4.3,1.4,0.8,0.0,2.2,16.5,1,0,-3.2
3,Jamaal Magloire,CHH,24,82,44,38,18.9,8.5,2.8,5.0,55.0,0.0,0.0,0.0,3.0,4.1,73.0,1.9,3.8,5.6,0.4,1.4,0.3,1.0,2.5,18.5,8,0,1.4
3,Jason Kidd,NJN,29,82,52,30,37.3,14.7,5.4,13.9,39.1,1.4,4.4,32.1,2.5,3.0,81.4,1.6,5.7,7.3,9.9,3.5,2.1,0.2,1.7,41.9,44,8,4.2
3,Jeff Foster,IND,25,82,42,40,21.8,5.7,2.2,4.8,44.9,0.0,0.2,13.3,1.4,2.2,61.0,2.5,4.3,6.8,0.9,1.0,0.9,0.5,2.8,18.1,8,0,-0.5
